test_label,state,n,E_a1,E_a2,E_a3,E_b,Q_c1,Q_c2,Q_c3,Q_d,Q_sign_acc_train
P1,CoCreation,31,-0.004955004926742219,-0.03420726150716883,0.029252256580426624,-8.20630863176379,-0.002042164770649602,-0.00036453392265743304,-0.0016776308479921672,-0.020156450597387215,0.5806451612903226
P1,Surprise,49,0.10771324508602129,0.0560261760401124,0.05168706904590885,-5.893874698577479,0.012075896718443342,0.025026786019683698,-0.012950889301240354,-0.034726987717863464,0.6122448979591837
P10,CoCreation,32,-0.0023790927280967805,-0.04906743941612054,0.04668834668802377,-8.34264578839273,-0.0014721590546575513,-0.00022181456918143687,-0.001250344485476107,-0.019500005246997573,0.59375
P10,Surprise,49,0.11295598069891521,0.07003992123255925,0.04291605946635592,-5.762489701539266,0.01197149328720271,0.025760758736924655,-0.01378926544972195,-0.033127663241865585,0.6122448979591837
P11,CoCreation,31,0.0011590340994665934,-0.03638116335642691,0.03754019745589353,-8.23814615307135,-0.004367531801636235,-0.005781031894744614,0.0014135000931083806,-0.01580194011289192,0.5161290322580645
P11,Surprise,47,0.15195045958174488,0.1025411573749284,0.04940930220681655,-5.148820002744847,0.011884258694259436,0.026458977190798812,-0.014574718496539378,-0.03359152229482069,0.6382978723404256
P12,CoCreation,31,0.029121751787381914,-0.01976524774131637,0.04888699952869831,-7.822714819119354,-0.005177799101932088,-0.0035832947490334606,-0.001594504352898627,-0.015857240399480818,0.5161290322580645
P12,Surprise,48,0.1023563037273138,0.06410072357873434,0.03825558014857953,-5.862174084706807,0.010898489657991579,0.02439351002687745,-0.01349502036888586,-0.03308229015001614,0.625
P13,CoCreation,31,-0.012743062782038243,-0.06222401191891553,0.049480949136877284,-8.506578983967819,-0.0025691040739530494,-0.0021642111729669494,-0.00040489290098609683,-0.01739549836995357,0.5161290322580645
P13,Surprise,46,0.10892233377303513,0.059028569847209875,0.04989376392582526,-5.862813713537097,0.00664326837538185,0.024654080154177287,-0.01801081177879544,-0.031000229269745796,0.6086956521739131
P14,CoCreation,31,0.002363832564507349,-0.043100732955068916,0.04546456551957626,-8.21467650463279,-0.0023891937301976454,-0.0012196569611752622,-0.0011695367690223847,-0.01866666452124466,0.5806451612903226
P14,Surprise,47,0.10707889445100931,0.05637941434114349,0.05069948010986576,-5.857120455190557,0.010242120352509272,0.02329801152331553,-0.013055891170806251,-0.032347871552340125,0.6170212765957447
P15,CoCreation,31,-0.015559606587434369,-0.06053600639977624,0.04497639981234188,-8.51277954307377,0.016367780972977187,0.012710310114417003,0.003657470858560191,-0.029411407089017433,0.5806451612903226
P15,Surprise,50,0.1158503147225394,0.06480730364756981,0.05104301107496958,-5.767442604478169,0.01262399963274463,0.026106830907153,-0.01348283127440838,-0.03406180820760896,0.62
P16,CoCreation,31,0.014403704860600006,-0.060258684953493326,0.07466238981409336,-8.223598446509305,-0.002547224263354632,0.0053275835410269605,-0.007874807804381595,-0.01881730959361578,0.5483870967741935
P16,Surprise,46,0.12509554955791935,0.02846631488221438,0.09662923467570493,-6.067165232573996,0.013850363409646925,0.02503579766403216,-0.01118543425438523,-0.032958036212242164,0.6521739130434783
P17,CoCreation,32,-0.0023790927280967805,-0.04906743941612054,0.04668834668802377,-8.34264578839273,-0.0014721590546575513,-0.00022181456918143687,-0.001250344485476107,-0.019500005246997573,0.59375
P17,Surprise,49,0.09408082395070244,0.04836031561389872,0.04572050833680376,-6.046027908726462,0.013041807757145748,0.026603652387577535,-0.013561844630431768,-0.0342607393524228,0.6326530612244898
P18,CoCreation,29,0.005662003373432476,-0.030615145016550306,0.036277148389982805,-8.181477133618229,-0.0021460686377043495,-0.00279133946070094,0.0006452708229965872,-0.015499243116182334,0.5172413793103449
P18,Surprise,46,0.11892888091228344,0.07638375227180451,0.04254512864047885,-5.640115981869805,0.01899176328657358,0.025076119020415667,-0.006084355733842087,-0.033406070119827554,0.6304347826086957
P19,CoCreation,29,0.06179491291176813,0.007271137782383417,0.054523775129384694,-7.381481651805734,-0.001970108129248388,-0.00011311508719696305,-0.001856993042051421,-0.02027302398578703,0.5517241379310345
P19,Surprise,49,0.1187080627099392,0.0776187874237499,0.04108927528618931,-5.659451335074865,0.012369750951870814,0.02546078335377711,-0.013091032401906295,-0.03451767609093245,0.6122448979591837
P2,CoCreation,31,0.03762757913586171,-0.01883845826699782,0.056466037402859534,-7.743312515840097,-0.0018415809360650126,-0.00029915026354012324,-0.0015424306725248822,-0.02011829978805296,0.5806451612903226
