label,comparison,d_switch_gain,d_deltaC_gain
P22_co_recon_features_W30,best_minus_neural_only_pca,0.10760374542830875,-0.0666216168804995
P22_co_recon_features_W30,best_minus_quantum_only_pca,0.1441445187446373,-0.0675972017689741
P22_co_recon_features_W30,best_minus_simple_mean_best,0.09686530038401608,-0.051381416093467136
P23_co_recon_features_W30,best_minus_neural_only_pca,0.23001556308391302,-0.09415461707057199
P23_co_recon_features_W30,best_minus_quantum_only_pca,0.045940176484198014,-0.07923449536788668
P23_co_recon_features_W30,best_minus_simple_mean_best,0.11462130243745816,0.020309839281666797
P24_co_recon_features_W30,best_minus_neural_only_pca,0.1268576046965132,0.03170165706483602
P24_co_recon_features_W30,best_minus_quantum_only_pca,0.04332126739000475,0.0067673146009913365
P24_co_recon_features_W30,best_minus_simple_mean_best,0.1997960964378812,0.015565442373557004
P25_co_recon_features_W30,best_minus_neural_only_pca,0.2208730782336823,-0.049161949407517336
P25_co_recon_features_W30,best_minus_quantum_only_pca,0.37073623011827217,-0.04351268673311026
P25_co_recon_features_W30,best_minus_simple_mean_best,0.2056616758157006,-0.08320200362514746
P26_co_recon_features_W30,best_minus_neural_only_pca,0.145495879529022,0.09638912781232206
P26_co_recon_features_W30,best_minus_quantum_only_pca,0.2323198880750672,-0.11963793636954417
P26_co_recon_features_W30,best_minus_simple_mean_best,0.08532713482232701,0.07458088318981543
P2_co_recon_features_W30,best_minus_neural_only_pca,0.21091117821464855,-0.14479731312338645
P2_co_recon_features_W30,best_minus_quantum_only_pca,0.03170584515040953,-0.2100218901296208
P2_co_recon_features_W30,best_minus_simple_mean_best,0.0590542016844684,-0.043266406400001345
P3_co_recon_features_W30,best_minus_neural_only_pca,0.5943364356979753,-0.03939354054904132
P3_co_recon_features_W30,best_minus_quantum_only_pca,-0.14226689350693844,-0.034609417523196684
P3_co_recon_features_W30,best_minus_simple_mean_best,0.453618083830332,-0.03826018968739964
P4_co_recon_features_W30,best_minus_neural_only_pca,-0.22186924356600923,0.06589895379488625
P4_co_recon_features_W30,best_minus_quantum_only_pca,-0.07832136543573476,-0.007275458390837708
P4_co_recon_features_W30,best_minus_simple_mean_best,-0.0782584488327307,0.053780542003936616
P5_co_recon_features_W30,best_minus_neural_only_pca,0.20315519229682943,-0.0340898011468298
P5_co_recon_features_W30,best_minus_quantum_only_pca,0.17892551123403921,-0.09790127451253439
P5_co_recon_features_W30,best_minus_simple_mean_best,0.12515722111714744,-0.007071364064208108
P6_co_recon_features_W30,best_minus_neural_only_pca,-0.15082754827366684,-0.0065239096160092935
P6_co_recon_features_W30,best_minus_quantum_only_pca,0.2408906912382759,-0.0048528380593484965
P6_co_recon_features_W30,best_minus_simple_mean_best,-0.2642371201391418,-0.04726285408093073
P7_co_recon_features_W30,best_minus_neural_only_pca,-0.11460406072950002,0.0667570127075367
P7_co_recon_features_W30,best_minus_quantum_only_pca,0.023115322649568726,0.021835027795566175
P7_co_recon_features_W30,best_minus_simple_mean_best,-0.09200866398638496,0.012506879739748566
P8_co_recon_features_W30,best_minus_neural_only_pca,0.35929438677400105,0.025988649412580278
P8_co_recon_features_W30,best_minus_quantum_only_pca,0.22769967838043348,0.10451154516129557
P8_co_recon_features_W30,best_minus_simple_mean_best,0.09765849327169362,-0.002251149922395723
P9_co_recon_features_W30,best_minus_neural_only_pca,0.015688895066892194,-0.05140032775237474
P9_co_recon_features_W30,best_minus_quantum_only_pca,-0.1275948345078265,-0.11464398487578231
P9_co_recon_features_W30,best_minus_simple_mean_best,0.2974022665892285,0.0834161397639479
