label,switch_gain,deltaC_gain,sharp_mean,n_total,n_switch_near,model
P22_co_recon_features_W30,0.8048867585851028,0.38940312413588063,1.5212463007618293,417,404,best_true_search
P23_co_recon_features_W30,0.8338276142007598,0.32790132439138425,1.5752399083695647,417,402,best_true_search
P24_co_recon_features_W30,0.8023880285066158,0.3380865183454619,1.606690458050829,417,386,best_true_search
P25_co_recon_features_W30,0.9824136442257025,0.27172478525856497,1.6457827786622474,417,397,best_true_search
P26_co_recon_features_W30,0.8761043838485632,0.2924939434749574,1.5938091948156563,417,399,best_true_search
P2_co_recon_features_W30,0.7037960464778171,0.17530062250978085,1.524183559212821,417,388,best_true_search
P3_co_recon_features_W30,0.8292895463875584,0.33207401796295066,1.5511466568324381,417,393,best_true_search
P4_co_recon_features_W30,0.6764071121209926,0.3417331719908687,1.5006924247575413,417,393,best_true_search
P5_co_recon_features_W30,0.8928306737231053,0.3349794944550625,1.5619105668742521,417,393,best_true_search
P6_co_recon_features_W30,0.7083901205035003,0.37992128379475393,1.5522146149090323,417,400,best_true_search
P7_co_recon_features_W30,0.7775965218090961,0.41630389686456576,1.5762085840117714,417,392,best_true_search
P8_co_recon_features_W30,0.9326850292419635,0.40274328083659594,1.6389516533758672,417,383,best_true_search
P9_co_recon_features_W30,0.7066989171303503,0.27051391459680757,1.5709181957623242,417,402,best_true_search
P22_co_recon_features_W30,0.6972830131567941,0.45602474101638013,1.4788385561096726,417,406,neural_only_pca
P23_co_recon_features_W30,0.6038120511168468,0.42205594146195624,1.577805970351344,417,409,neural_only_pca
P24_co_recon_features_W30,0.6755304238101026,0.30638486128062586,1.503985220621128,417,395,neural_only_pca
P25_co_recon_features_W30,0.7615405659920202,0.3208867346660823,1.5743712323608152,417,399,neural_only_pca
P26_co_recon_features_W30,0.7306085043195412,0.19610481566263532,1.5719011644325698,417,402,neural_only_pca
P2_co_recon_features_W30,0.4928848682631686,0.3200979356331673,1.506262667870041,417,399,neural_only_pca
P3_co_recon_features_W30,0.23495311068958302,0.371467558511992,1.5408708535356719,417,407,neural_only_pca
P4_co_recon_features_W30,0.8982763556870018,0.2758342181959825,1.5561157550808877,417,406,neural_only_pca
P5_co_recon_features_W30,0.6896754814262759,0.3690692956018923,1.5290619632999303,417,414,neural_only_pca
P6_co_recon_features_W30,0.8592176687771671,0.3864451934107632,1.5540881674710314,417,400,neural_only_pca
P7_co_recon_features_W30,0.8922005825385961,0.34954688415702906,1.5434067121693498,417,397,neural_only_pca
P8_co_recon_features_W30,0.5733906424679625,0.37675463142401566,1.6385913743580105,417,400,neural_only_pca
P9_co_recon_features_W30,0.6910100220634581,0.3219142423491823,1.5458881999398664,417,407,neural_only_pca
P22_co_recon_features_W30,0.6607422398404655,0.45700032590485473,1.5004617211486642,417,400,quantum_only_pca
P23_co_recon_features_W30,0.7878874377165618,0.40713581975927093,1.653170003654077,417,398,quantum_only_pca
P24_co_recon_features_W30,0.7590667611166111,0.33131920374447055,1.560466806591482,417,377,quantum_only_pca
P25_co_recon_features_W30,0.6116774141074304,0.31523747199167523,1.5927408269631083,417,399,quantum_only_pca
P26_co_recon_features_W30,0.643784495773496,0.41213187984450156,1.5929176104197593,417,390,quantum_only_pca
P2_co_recon_features_W30,0.6720902013274076,0.38532251263940165,1.508407686900838,417,384,quantum_only_pca
P3_co_recon_features_W30,0.9715564398944968,0.36668343548614735,1.5951790787997175,417,387,quantum_only_pca
P4_co_recon_features_W30,0.7547284775567273,0.34900863038170643,1.5433297337922438,417,383,quantum_only_pca
P5_co_recon_features_W30,0.7139051624890661,0.43288076896759686,1.5964769193614041,417,370,quantum_only_pca
P6_co_recon_features_W30,0.46749942926522436,0.3847741218541024,1.510395704431817,417,397,quantum_only_pca
P7_co_recon_features_W30,0.7544811991595274,0.3944688690689996,1.5511658727881776,417,388,quantum_only_pca
P8_co_recon_features_W30,0.70498535086153,0.29823173567530037,1.5710555072756163,417,396,quantum_only_pca
P9_co_recon_features_W30,0.8342937516381768,0.3851578994725899,1.4696683942677908,417,401,quantum_only_pca
P22_co_recon_features_W30,0.7080214582010868,0.44078454022934777,1.4933891258458674,417,402,simple_mean_best
P23_co_recon_features_W30,0.7192063117633016,0.30759148510971746,1.571343806718838,417,411,simple_mean_best
P24_co_recon_features_W30,0.6025919320687346,0.3225210759719049,1.5202702287119088,417,393,simple_mean_best
P25_co_recon_features_W30,0.7767519684100019,0.35492678888371243,1.5910497982339113,417,390,simple_mean_best
P26_co_recon_features_W30,0.7907772490262361,0.21791306028514196,1.5709920238151012,417,388,simple_mean_best
P2_co_recon_features_W30,0.6447418447933487,0.2185670289097822,1.5043684852781927,417,388,simple_mean_best
P3_co_recon_features_W30,0.3756714625572264,0.3703342076503503,1.5382067216260658,417,402,simple_mean_best
P4_co_recon_features_W30,0.7546655609537233,0.2879526299869321,1.5364872388823454,417,406,simple_mean_best
P5_co_recon_features_W30,0.7676734526059579,0.3420508585192706,1.5279982958084506,417,412,simple_mean_best
P6_co_recon_features_W30,0.972627240642642,0.42718413787568466,1.5471077700703972,417,401,simple_mean_best
P7_co_recon_features_W30,0.8696051857954811,0.4037970171248172,1.5414636714738879,417,394,simple_mean_best
P8_co_recon_features_W30,0.8350265359702699,0.40499443075899166,1.6188235886122382,417,395,simple_mean_best
P9_co_recon_features_W30,0.40929665054112174,0.18709777483285966,1.5382544942107428,417,405,simple_mean_best
