cols,mode,mean_adv_vs_quantum_train,median_adv_vs_quantum_train,sign_test_p_vs_quantum_train,cand_train_mean_switch_gain,quantum_train_mean_switch_gain,n_sessions
"('h', 'dh', 'deps')",pca,0.10557445774138308,0.1081055565532939,0.01123046875,0.7274773931185645,0.6219029353771813,13
"('h', 'dh', 'deps')",weighted,0.10358529185541049,0.08171425871341098,0.046142578125,0.725488227232592,0.6219029353771813,13
"('dh', 'deps')",pca,0.10154278807683771,0.11929422629715059,0.01123046875,0.723445723454019,0.6219029353771813,13
"('dh', 'deps')",mean,0.10154278807683771,0.11929422629715059,0.01123046875,0.723445723454019,0.6219029353771813,13
"('dh', 'deps')",weighted,0.10154278807683771,0.11929422629715059,0.01123046875,0.723445723454019,0.6219029353771813,13
"('a', 'dh', 'deps', 'dpsi')",pca,0.09044967618308139,0.09243837526644294,0.01123046875,0.7123526115602627,0.6219029353771813,13
"('dh', 'deps', 'dpsi')",mean,0.08841274161005229,0.07642879563742666,0.0001220703125,0.7103156769872337,0.6219029353771813,13
"('da', 'deps')",weighted,0.08616486293385775,0.001993402952374712,0.5,0.708067798311039,0.6219029353771813,13
"('dh', 'da', 'deps')",mean,0.08616486293385775,0.001993402952374712,0.5,0.708067798311039,0.6219029353771813,13
"('dh', 'da', 'deps')",weighted,0.08616486293385775,0.001993402952374712,0.5,0.708067798311039,0.6219029353771813,13
"('dh', 'da', 'deps', 'dpsi')",mean,0.0809303063094691,-0.016990833225208224,0.70947265625,0.7028332416866505,0.6219029353771813,13
"('dh', 'da', 'deps')",pca,0.07667806859043075,0.0032323710019923624,0.5,0.6985810039676121,0.6219029353771813,13
"('dh', 'da', 'deps', 'dpsi')",weighted,0.0715286804229203,0.07363857089590042,0.1334228515625,0.6934316158001017,0.6219029353771813,13
"('dh', 'da', 'deps', 'dpsi')",pca,0.06814433622432378,0.0035512884207788975,0.5,0.6900472716015051,0.6219029353771813,13
"('a', 'dh', 'deps')",pca,0.06585279344926606,0.02989546654618347,0.5,0.6877557288264474,0.6219029353771813,13
"('dh', 'deps', 'dpsi')",pca,0.06043304261869475,0.08576533840287226,0.01123046875,0.6823359779958762,0.6219029353771813,13
"('h', 'dh', 'da', 'deps')",weighted,0.05260393599005656,-0.03436210870390599,0.70947265625,0.6745068713672381,0.6219029353771813,13
"('h', 'dh', 'da', 'deps')",pca,0.04963594892222807,-0.008273823021682447,0.70947265625,0.6715388842994093,0.6219029353771813,13
"('a', 'dh', 'deps')",weighted,0.0471706531240348,-0.028177192225282033,0.8665771484375,0.6690735885012162,0.6219029353771813,13
"('h', 'dh', 'da', 'deps')",mean,0.04356705690270376,0.05624607233709389,0.1334228515625,0.665469992279885,0.6219029353771813,13
"('a', 'dh', 'da', 'deps')",pca,0.042191829323871013,0.0011969832403304626,0.5,0.6640947647010524,0.6219029353771813,13
"('h', 'dh', 'deps', 'dpsi')",pca,0.04129299836293806,0.06783840938605412,0.046142578125,0.6631959337401194,0.6219029353771813,13
"('h', 'dh')",weighted,0.032374608826386285,0.06988133625609194,0.29052734375,0.6542775442035675,0.6219029353771813,13
"('h', 'deps')",weighted,0.032374608826386285,0.06988133625609194,0.29052734375,0.6542775442035675,0.6219029353771813,13
"('h', 'dh', 'deps')",mean,0.032374608826386285,0.06988133625609194,0.29052734375,0.6542775442035675,0.6219029353771813,13
"('h', 'da', 'deps')",weighted,0.029629603399507334,0.03003281331855545,0.5,0.6515325387766887,0.6219029353771813,13
"('da', 'deps', 'dpsi')",weighted,0.02592099144184823,0.02383196694089007,0.5,0.6478239268190296,0.6219029353771813,13
"('h', 'da', 'deps', 'dpsi')",weighted,0.025671856740782744,0.00037036393432710035,0.5,0.6475747921179641,0.6219029353771813,13
"('dh', 'deps', 'dpsi')",weighted,0.025461064373164234,0.025489613124740407,0.001708984375,0.6473639997503455,0.6219029353771813,13
"('h', 'dh', 'da', 'dpsi')",pca,0.02304407313783434,0.01175564004341012,0.29052734375,0.6449470085150157,0.6219029353771813,13
"('h', 'da', 'deps', 'dpsi')",pca,0.02304407313783434,0.01175564004341012,0.29052734375,0.6449470085150157,0.6219029353771813,13
"('a', 'dh', 'deps', 'dpsi')",mean,0.016823620629087897,-0.003024321182142131,0.70947265625,0.6387265560062692,0.6219029353771813,13
"('h', 'dh', 'deps', 'dpsi')",weighted,0.013286500876014667,0.03820248806857507,0.29052734375,0.635189436253196,0.6219029353771813,13
"('a', 'dh', 'da', 'deps')",weighted,0.010890677076041522,0.045158520448723594,0.5,0.6327936124532229,0.6219029353771813,13
"('h', 'dh', 'da')",pca,0.00561549084635798,-0.00545473653029771,0.8665771484375,0.6275184262235391,0.6219029353771813,13
"('h', 'da', 'deps')",pca,0.00561549084635798,-0.00545473653029771,0.8665771484375,0.6275184262235391,0.6219029353771813,13
"('dh', 'da', 'dpsi')",mean,0.00012917248244222938,-0.03705416713696974,0.70947265625,0.6220321078596235,0.6219029353771813,13
"('da', 'deps', 'dpsi')",mean,0.00012917248244222938,-0.03705416713696974,0.70947265625,0.6220321078596235,0.6219029353771813,13
"('dh', 'dpsi')",pca,0.0,0.0,,0.6219029353771813,0.6219029353771813,13
"('dh', 'dpsi')",mean,0.0,0.0,,0.6219029353771813,0.6219029353771813,13
"('deps', 'dpsi')",pca,0.0,0.0,,0.6219029353771813,0.6219029353771813,13
"('deps', 'dpsi')",mean,0.0,0.0,,0.6219029353771813,0.6219029353771813,13
"('a', 'dh', 'dpsi')",weighted,-0.002503320619792876,-0.006438537107994802,0.70947265625,0.6193996147573884,0.6219029353771813,13
