task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-8.082632971669891,-0.0011950111042142216,,
1,-6.618079947443953,-0.001127512833241125,-0.0011950111042142216,-6.9408341309544745
2,-6.795011659058754,-0.00047769839636926676,-0.001127512833241125,-6.892511219691747
3,-8.694718301928855,-0.0011695526002596318,-0.00047769839636926676,-6.427300408844255
4,-6.379569439162502,-2.5056951761766105e-05,-0.0011695526002596318,-6.922608048867575
5,-7.581222586634998,-0.0011950111042142216,-2.5056951761766105e-05,-6.103248369491734
6,-6.794638430507981,-0.0022895015032906585,-0.0011950111042142216,-6.9408341309544745
7,-6.099614037790512,-0.0019889415453924974,-0.0022895015032906585,-7.724394386202468
8,-7.879502999556127,-0.005922850246862968,-0.0019889415453924974,-7.50921950890182
9,-6.292849880598218,-0.0015849613334079633,-0.005922850246862968,-10.325557147722199
10,-5.685949937595301,-0.0006293308500826724,-0.0015849613334079633,-7.220004694148901
11,-6.896078298489411,-0.00010083031922921879,-0.0006293308500826724,-6.535856102193246
12,-7.683885762609618,-3.460373628923967e-05,-0.00010083031922921879,-6.157495532558581
13,-8.555734253155691,-8.232792030955999e-05,-3.460373628923967e-05,-6.110083039697574
14,-6.193065211975335,-0.000916437935483537,-8.232792030955999e-05,-6.144249418721108
15,-8.723234216102966,-0.004202351608904442,-0.000916437935483537,-6.741399888881591
16,-6.028153230354909,-0.0004288442494673958,-0.004202351608904442,-9.093829255864776
17,-6.359984777697479,-0.0026586403876341087,-0.0004288442494673958,-6.392325074342779
18,-7.290989489966558,-0.0039276173995415,-0.0026586403876341087,-7.988665830412655
19,-8.803168809522678,-0.0013089391878101334,-0.0039276173995415,-8.897143375937977
20,-6.473007516465499,-0.0012563812251547046,-0.0013089391878101334,-7.022396763516309
21,-8.297648039783638,-0.0011695526002596318,-0.0012563812251547046,-6.984769817982248
22,-9.142780949340354,-0.0014854037076946864,-0.0011695526002596318,-6.922608048867575
23,-5.942854128822529,-0.0016324081157086494,-0.0014854037076946864,-7.148730063798918
24,-5.550085602592808,-0.0013101876040178592,-0.0016324081157086494,-7.253972477586374
25,-6.964660054486427,-0.0002960078676701983,-0.0013101876040178592,-7.023290521308253
26,-7.5943510452869605,-0.00010752425558413915,-0.0002960078676701983,-6.297225739241199
27,-7.271502679770977,-0.003725202018695613,-0.00010752425558413915,-6.162287810757915
28,-7.565065496401442,-0.0020095384332410506,-0.003725202018695613,-8.752231508629174
29,-7.096895498337816,-0.001138520055404187,-0.0020095384332410506,-7.5239650952619614
