task_idx,E_Ricci,Q_Ricci_raw
0,-3.142235585669675,-1.2528475880883025e-05
1,-7.208769237432498,-0.0008213250192307053
2,-7.1202796634435455,-0.0009818294466968974
3,-6.683553810856441,-0.0017348509607977734
4,-7.386890045088613,-0.0018687998343991504
5,-8.43858609443921,-0.0013473084202002168
6,-9.052500654291654,-0.0025996832810839675
7,-8.319736539307193,-0.0017141553207850352
8,-8.496856094734492,-0.0012385323370614752
9,-9.056499019941977,-0.0011119791785136489
10,-8.08375560442417,-0.0013298806633338094
11,-6.7204576268339,-0.0028186123015403637
12,-7.671289981950821,-0.0021274425479360453
13,-8.850837732947593,-0.0007052673833820319
14,-8.42644385439046,-0.00048559353092483544
15,-8.187256992249694,-0.0016442127138738183
16,-7.591231049480519,-0.001605707294880713
17,-7.854183157093129,-0.0005475960332211437
18,-8.024672689157764,-0.0008497795132520268
19,-7.881180159968292,-0.0012361180645971768
20,-7.439212795456848,-0.001150908498394204
21,-7.923138692141542,-0.0036624485984581238
22,-9.490271148958147,-0.003696599860911162
23,-8.323925404698995,-0.0028017997454355854
24,-8.446517946394136,-0.0033304274319010123
25,-9.768841138722362,-0.002080169978764835
26,-9.204914885755848,-0.002809998555971018
27,-7.7738174913612355,-0.004185873426994051
28,-6.89946375844427,-0.002808249989523506
29,-6.510937300388617,-0.002018876302352382
